,close,strike_price,price,rf,S/K,day_diff,date,exdate,impl_volatility,vega
10763,1314.5,1210.0,106.45,0.06,0.9205020920502092,30.0,2012-01-19,2012-02-18,0.233935,63.424380000000006
10764,1314.5,1215.0,102.1,0.06,0.9243058197033093,30.0,2012-01-19,2012-02-18,0.23485,69.07288
10765,1314.5,1220.0,97.4,0.06,0.9281095473564093,30.0,2012-01-19,2012-02-18,0.229994,72.47279
10766,1314.5,1225.0,92.9,0.06,0.9319132750095093,30.0,2012-01-19,2012-02-18,0.22741999999999998,76.97296
10767,1314.5,1230.0,88.05000000000001,0.06,0.9357170026626094,30.0,2012-01-19,2012-02-18,0.219917,79.63235
10768,1314.5,1235.0,83.8,0.06,0.9395207303157094,30.0,2012-01-19,2012-02-18,0.219404,85.26653
10769,1314.5,1240.0,79.45,0.06,0.9433244579688095,30.0,2012-01-19,2012-02-18,0.216935,90.20758000000001
10770,1314.5,1245.0,74.85,0.06,0.9471281856219095,30.0,2012-01-19,2012-02-18,0.21117600000000003,94.05436999999999
10771,1314.5,1250.0,70.25,0.06,0.9509319132750095,30.0,2012-01-19,2012-02-18,0.205046,97.93127
10772,1314.5,1255.0,66.1,0.06,0.9547356409281096,30.0,2012-01-19,2012-02-18,0.20293,103.2936
10773,1314.5,1260.0,62.3,0.06,0.9585393685812096,30.0,2012-01-19,2012-02-18,0.20328,109.3144
10774,1314.5,1265.0,57.8,0.06,0.9623430962343096,30.0,2012-01-19,2012-02-18,0.196497,113.2578
10775,1314.5,1270.0,53.8,0.06,0.9661468238874097,30.0,2012-01-19,2012-02-18,0.193525,118.198
10776,1314.5,1275.0,49.55,0.06,0.9699505515405097,30.0,2012-01-19,2012-02-18,0.18776199999999998,122.4243
10777,1314.5,1280.0,45.7,0.06,0.9737542791936097,30.0,2012-01-19,2012-02-18,0.184557,127.0271
10778,1314.5,1285.0,42.2,0.06,0.9775580068467098,30.0,2012-01-19,2012-02-18,0.183204,131.5587
10779,1314.5,1290.0,38.5,0.06,0.9813617344998098,30.0,2012-01-19,2012-02-18,0.17941600000000002,135.3442
10780,1314.5,1295.0,34.85,0.06,0.9851654621529099,30.0,2012-01-19,2012-02-18,0.175126,138.642
10781,1314.5,1300.0,31.65,0.06,0.9889691898060099,30.0,2012-01-19,2012-02-18,0.173123,141.4656
